date;peg_nord;trs;peg;ttf;zee;nbp;ncg;gaspool;psv
2015-02;23.102142857142848;23.556071428571425;;22.405714285714286;48.5625;50.526785714285715;22.72457142857143;22.585892857142856;25.691428571428563
2015-03;22.094516129032264;22.58290322580645;;21.92483870967742;45.81225806451613;47.393870967741954;21.92564516129032;21.69203225806452;23.9241935483871
2016-09;12.474333333333332;16.257999999999996;;12.187333333333335;30.441999999999997;28.266666666666666;12.430333333333332;12.373066666666668;14.063333333333336
2017-02;20.012857142857143;20.852857142857143;;19.68857142857143;49.354285714285716;51.30892857142857;20.221071428571427;19.74857142857143;20.735000000000003
2018-03;23.17561290322581;23.33032258064516;;24.19822580645161;57.49774193548388;64.83709677419354;23.583129032258064;23.695290322580657;23.195161290322588
2018-04;19.431733333333334;21.04023333333333;;19.60536666666666;49.54433333333334;50.853333333333325;19.55703333333333;19.454566666666665;21.768666666666668
2018-05;21.337612903225804;22.46467741935484;;21.471387096774187;54.31580645161291;55.23322580645162;21.571419354838714;21.636967741935482;23.30258064516129
2018-07;21.823193548387103;25.867322580645162;;22.16109677419355;56.59967741935483;57.53967741935486;22.212645161290318;22.479741935483872;24.23193548387097
2019-01;;;21.919838709677418;21.561225806451613;56.830645161290306;58.09193548387099;22.142709677419354;21.71545161290322;23.751290322580648
2019-03;;;15.795451612903225;15.726129032258063;38.78193548387096;39.63870967741936;16.436387096774197;15.969161290322583;18.32935483870968
2021-04;;;19.965799999999994;20.3356;50.33583333333333;53.93133333333334;20.6989;20.579233333333327;21.438333333333336
2021-07;;;35.750838709677424;36.0395806451613;86.87903225806446;89.72903225806452;35.79819354838711;35.87006451612904;35.2108064516129
2021-10;;;83.87229032258062;86.47206451612902;210.54306451612902;201.73629032258066;87.13709677419354;87.13709677419354;84.72258064516129
2009-01;24.378387096774187;;;23.763322580645163;;;;;
2009-08;8.789354838709679;9.04;;8.914935483870966;;;;;
2009-10;10.746774193548385;10.762580645161291;;10.152096774193547;;;;;
2009-12;11.256774193548388;11.344516129032261;;11.146838709677416;;;;;
2010-04;13.365999999999998;13.456999999999999;;13.3101;;;13.479333333333335;13.355333333333334;
2010-05;16.652903225806448;16.807096774193546;;16.373806451612904;;;16.79354838709677;16.76451612903226;
2011-08;21.619677419354836;21.631612903225797;;21.58374193548387;;;21.706129032258065;21.843225806451613;
2012-05;24.64032258064516;28.41258064516128;;24.23351612903226;;;24.323225806451617;24.267419354838708;28.5
2012-11;27.31766666666667;27.334000000000007;;27.20033333333333;63.79866666666666;65.31166666666667;27.349000000000007;27.31233333333333;27.810999999999993
2014-06;18.02066666666667;21.944000000000003;;17.529333333333337;40.70500000000001;39.467000000000006;17.364166666666666;17.1232;20.700000000000003
2014-08;17.859354838709677;20.337096774193554;;17.545483870967743;40.65;40.75322580645161;17.65861290322581;17.43677419354839;20.78225806451613
2014-12;23.059032258064523;23.062903225806455;;22.561935483870975;52.10967741935486;54.0009677419355;22.8261935483871;22.790806451612898;25.609677419354846
2015-05;20.7458064516129;21.25064516129032;;20.416129032258063;43.33451612903225;44.117419354838695;20.676225806451615;20.69238709677419;22.171612903225807
2015-09;19.122333333333337;19.348000000000003;;19.127;40.739;41.196;19.38533333333333;19.1697;21.266000000000002
2015-11;17.403;17.82133333333333;;17.028999999999993;34.922666666666665;35.688333333333325;17.514999999999997;17.341533333333334;19.61366666666667
2016-07;14.286129032258067;15.316451612903228;;14.218064516129031;34.73967741935484;34.25;14.407419354838714;14.424838709677415;16.051290322580645
2016-08;12.505806451612898;15.147741935483872;;11.902258064516129;29.92096774193547;30.46451612903226;12.075161290322583;12.316032258064517;14.024516129032259
2016-11;18.111333333333334;19.87066666666667;;18.03233333333333;46.00733333333333;47.62499999999998;18.012333333333334;17.121033333333337;19.438333333333333
2017-08;15.78516129032258;15.920000000000003;;15.93225806451613;41.72516129032259;42.516129032258064;16.02516129032258;15.872258064516126;17.771612903225805
2019-06;;;10.208466666666668;10.494233333333334;27.205666666666666;27.697666666666677;10.777633333333334;10.306999999999999;14.172333333333336
2019-12;;;13.116483870967743;13.110548387096767;33.18645161290325;32.263548387096776;13.429193548387097;13.315193548387098;14.689677419354837
2020-02;;;9.19320689655172;9.346172413793102;23.49310344827586;23.454482758620685;9.833103448275859;9.99510344827586;10.71758620689655
2021-09;;;61.48879999999999;62.375499999999995;153.05166666666665;151.95499999999998;62.241033333333334;62.30386666666666;61.77333333333334
2021-12;;;113.51609677419356;113.47496774193549;280.4137096774194;276.1548387096774;114.22877419354839;114.22877419354839;113.31387096774195
2022-02;;;78.6992142857143;79.90367857142856;195.48392857142858;185.61607142857142;80.55085714285715;80.55085714285715;81.89732142857143
2022-04;;;88.60920000000002;99.98276666666665;240.21099999999993;191.86666666666667;100.30740000000004;100.30740000000004;105.30833333333334
2009-03;13.187741935483873;;;12.28267741935484;;;;;
2009-04;11.986333333333334;12.492333333333328;;11.685133333333333;;;;;
2009-07;9.531935483870965;9.841290322580644;;9.50503225806452;;;;;
2009-09;9.04433333333333;9.053000000000003;;9.333066666666667;;;;;
2009-11;10.295666666666666;10.444999999999999;;9.943599999999996;;;;;
2010-02;14.048214285714284;14.150714285714287;;14.089392857142855;;;14.059999999999999;;
2010-07;19.61935483870968;19.789032258064516;;19.64770967741936;;;19.62967741935484;19.66903225806451;
2010-08;17.929032258064517;17.97225806451613;;17.951516129032257;;;18.181935483870966;18.56483870967742;
2011-04;22.558;22.52333333333333;;22.83063333333333;;;22.804333333333332;22.837666666666667;
2011-09;23.83166666666666;23.81233333333333;;23.75166666666667;;;23.806666666666665;23.857000000000003;
2011-12;22.99354838709677;23.673225806451608;;22.337580645161296;;;22.728709677419353;22.54096774193548;
2012-07;24.637096774193544;28.755161290322583;;24.221290322580643;56.09290322580646;55.54354838709678;24.38516129032258;24.254193548387093;26.75
2012-08;24.525483870967744;25.88967741935483;;23.903225806451616;55.12032258064516;54.1048387096774;24.18;24.202258064516126;26.62096774193548
2012-12;27.410000000000004;28.12709677419355;;27.213870967741936;64.33;65.7058064516129;27.238387096774197;27.331290322580646;28.198387096774194
2013-02;27.033571428571427;30.744999999999994;;26.25357142857143;66.73928571428571;68.68749999999999;26.49285714285714;26.46892857142858;25.885714285714283
2013-06;26.479;28.61133333333333;;26.227666666666668;65.046;59.55833333333332;26.518066666666666;26.5476;27.873999999999988
2013-07;26.47161290322581;28.845806451612912;;25.983870967741932;65.39129032258063;65.08064516129033;26.294580645161293;26.33261290322581;27.728709677419356
2013-12;27.632580645161287;39.19225806451613;;27.67129032258065;67.83161290322583;69.31870967741936;27.730741935483866;27.623806451612907;29.808064516129026
2014-01;26.425806451612907;33.19870967741936;;26.19612903225807;63.70161290322581;65.24838709677418;26.57345161290322;26.597709677419356;27.351290322580642
2014-05;19.671290322580642;24.554838709677433;;19.18064516129032;45.585483870967735;45.81129032258064;19.413225806451614;19.311225806451617;21.195161290322588
2014-10;21.803225806451614;24.987096774193546;;21.041612903225808;49.11129032258064;50.38225806451613;21.69435483870968;21.49377419354838;25.75193548387097
2014-11;22.505000000000006;22.48033333333334;;22.347666666666672;52.08833333333333;53.93666666666666;23.0247;22.97633333333334;25.73166666666667
2015-01;20.378709677419355;21.37387096774193;;19.64161290322581;44.67903225806451;46.14354838709678;20.315258064516126;20.260387096774192;22.848709677419354
2015-10;18.506451612903227;18.606774193548382;;18.200967741935486;38.781290322580624;39.52612903225806;18.504516129032254;18.281741935483872;19.94451612903226
2016-03;12.574516129032258;12.880645161290326;;12.247419354838707;28.05612903225806;29.93645161290323;12.447096774193552;12.44590322580645;14.007741935483873
2016-05;13.115161290322584;13.626129032258065;;13.03612903225807;29.14870967741935;30.604838709677413;13.089032258064517;13.079677419354837;14.96967741935484
2016-10;15.800967741935485;16.839999999999996;;15.78967741935484;40.788709677419355;41.72903225806453;16.05129032258064;15.832870967741936;17.728387096774195
